longitude,latitude,date_year
-123.1229458097532,49.28479445728205,2023
-123.1229458097532,49.28479445728205,2024
-123.1229366438762,49.28478845915745,2005
-123.1229366438762,49.28478845915745,2006
-123.1229366438762,49.28478845915745,2008
-123.1229366438762,49.28478845915745,2009
-123.1229366438762,49.28478845915745,2011
-123.12281021574287,49.284822052041704,2015
-123.12275008861789,49.284666301530514,2023
-123.12274924986082,49.28466575641445,2012
-123.1224119443512,49.28444489052141,2015
-123.12239779147941,49.28443561979518,2017
-123.12233698767591,49.284395809476784,2006
-123.12233698767591,49.284395809476784,2021
-123.12231950321518,49.284384357340166,2018
-123.1218122978584,49.28405223808645,2003
-123.1218122978584,49.28405223808645,2004
-123.1218122978584,49.28405223808645,2004
-123.1218122978584,49.28405223808645,2007
-123.1218122978584,49.28405223808645,2007
-123.12783263218667,49.251697537225965,2014
-123.12655811390314,49.282900873501916,2014
-123.12637921079327,49.28289791649622,2022
-123.12637740452155,49.28277811620894,2003
-123.12635912571031,49.28288427478792,2003
-123.12635912571031,49.28288427478792,2009
-123.12635912571031,49.28288427478792,2014
-123.12635912571031,49.28288427478792,2015
-123.12621455940152,49.282786068725905,2013
-123.12619669603714,49.28265535863,2006
-123.12619669603714,49.28265535863,2007
-123.12617841688281,49.28276151718295,2022
-123.12603947924312,49.28266713040241,2016
-123.12585314270417,49.28254055277399,2014
-123.12585314270417,49.28254055277399,2016
-123.12585074193291,49.282538915567926,2019
-123.12585074193291,49.282538915567926,2023
-123.1258352817598,49.28240984261427,2015
-123.12561843546598,49.28226253245524,2015
-123.12561843546598,49.28226253245524,2016
-123.12561843546598,49.28226253245524,2019
-123.12511246397113,49.28191880715154,2011
-123.12511246397113,49.28191880715154,2013
-123.12511246397113,49.28191880715154,2014
-123.12511246397113,49.28191880715154,2014
-123.12511246397113,49.28191880715154,2015
-123.12511246397113,49.28191880715154,2015
-123.12507311618069,49.281892072002066,2017
-123.12507311618069,49.281892072002066,2018
-123.12507311618069,49.281892072002066,2018
-123.12507311618069,49.281892072002066,2018
-123.12507311618069,49.281892072002066,2019
-123.12507311618069,49.281892072002066,2019
-123.12507311618069,49.281892072002066,2022
-123.12507311618069,49.281892072002066,2022
-123.13476795579513,49.276832552468036,2003
-123.13476795579513,49.276832552468036,2004
-123.13476795579513,49.276832552468036,2004
-123.13476795579513,49.276832552468036,2004
-123.13476795579513,49.276832552468036,2004
-123.13476795579513,49.276832552468036,2004
-123.13476795579513,49.276832552468036,2004
-123.13476795579513,49.276832552468036,2004
-123.13476795579513,49.276832552468036,2005
-123.13476795579513,49.276832552468036,2005
-123.13476795579513,49.276832552468036,2005
-123.13476795579513,49.276832552468036,2005
-123.13476795579513,49.276832552468036,2005
-123.13476795579513,49.276832552468036,2005
-123.13476795579513,49.276832552468036,2005
-123.13476795579513,49.276832552468036,2006
-123.13476795579513,49.276832552468036,2006
-123.13476795579513,49.276832552468036,2006
-123.13476795579513,49.276832552468036,2006
-123.13476795579513,49.276832552468036,2006
-123.13476795579513,49.276832552468036,2006
-123.13476795579513,49.276832552468036,2007
-123.13476795579513,49.276832552468036,2007
-123.13476795579513,49.276832552468036,2007
-123.13476795579513,49.276832552468036,2008
-123.13476795579513,49.276832552468036,2008
-123.13476795579513,49.276832552468036,2008
-123.13476795579513,49.276832552468036,2008
-123.13476795579513,49.276832552468036,2009
-123.13476795579513,49.276832552468036,2009
-123.13476795579513,49.276832552468036,2009
-123.13476795579513,49.276832552468036,2009
-123.13476795579513,49.276832552468036,2009
-123.13476795579513,49.276832552468036,2010
-123.13476795579513,49.276832552468036,2010
-123.13476795579513,49.276832552468036,2010
-123.13476795579513,49.276832552468036,2010
-123.13476795579513,49.276832552468036,2010
-123.13476795579513,49.276832552468036,2010
-123.13476795579513,49.276832552468036,2010
-123.13476795579513,49.276832552468036,2010
-123.13476795579513,49.276832552468036,2011
-123.13476795579513,49.276832552468036,2012
-123.13476795579513,49.276832552468036,2014
-123.13476795579513,49.276832552468036,2014
-123.13476795579513,49.276832552468036,2015
-123.13476795579513,49.276832552468036,2015
-123.13476795579513,49.276832552468036,2015
-123.13476795579513,49.276832552468036,2015
-123.13476795579513,49.276832552468036,2015
-123.13476795579513,49.276832552468036,2015
-123.13476795579513,49.276832552468036,2015
-123.13476795579513,49.276832552468036,2015
-123.13476795579513,49.276832552468036,2016
-123.13476795579513,49.276832552468036,2016
-123.13476795579513,49.276832552468036,2020
-123.13476795579513,49.276832552468036,2020
-123.13476795579513,49.276832552468036,2024
-123.13476795579513,49.276832552468036,2024
-123.13476253181432,49.2768268999221,2017
-123.13476253181432,49.2768268999221,2017
-123.13476253181432,49.2768268999221,2017
-123.13476253181432,49.2768268999221,2017
-123.13476253181432,49.2768268999221,2017
-123.13476253181432,49.2768268999221,2017
-123.13476253181432,49.2768268999221,2017
-123.13476253181432,49.2768268999221,2018
-123.13476253181432,49.2768268999221,2022
-123.13476253181432,49.2768268999221,2022
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13476253181432,49.2768268999221,2023
-123.13435831808319,49.27657178500085,2003
-123.13435831808319,49.27657178500085,2003
-123.13435831808319,49.27657178500085,2004
-123.13435831808319,49.27657178500085,2005
-123.13435831808319,49.27657178500085,2005
-123.13435831808319,49.27657178500085,2006
-123.13435831808319,49.27657178500085,2006
-123.13435831808319,49.27657178500085,2007
-123.13435831808319,49.27657178500085,2007
-123.13435831808319,49.27657178500085,2007
-123.13435831808319,49.27657178500085,2007
-123.13435831808319,49.27657178500085,2008
-123.13435831808319,49.27657178500085,2008
-123.13435831808319,49.27657178500085,2008
-123.13435831808319,49.27657178500085,2009
-123.13435831808319,49.27657178500085,2009
-123.13435831808319,49.27657178500085,2010
-123.13435831808319,49.27657178500085,2011
-123.13435831808319,49.27657178500085,2011
-123.13435831808319,49.27657178500085,2012
-123.13435831808319,49.27657178500085,2012
-123.13435831808319,49.27657178500085,2012
-123.13435831808319,49.27657178500085,2013
